WP_069582264.1	WP_069582264.1
WP_069582265.1	WP_069582265.1
WP_069582268.1	WP_069582268.1
WP_069582289.1	WP_069582289.1 WP_176720169.1
WP_069582299.1	WP_069582299.1
WP_069582302.1	WP_069582302.1
WP_069582304.1	WP_069582304.1
WP_069582305.1	WP_069582305.1
WP_069582310.1	WP_069582310.1
WP_069582314.1	WP_069582314.1
WP_069582317.1	WP_069582317.1
WP_069582319.1	WP_069582319.1
WP_069582320.1	WP_069582320.1
WP_069582322.1	WP_069582322.1
WP_069582324.1	WP_069582324.1
WP_069582327.1	WP_069582327.1
WP_069582332.1	WP_069582332.1
